Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H553.sam
AT1G01010	167.50
AT1G01020	118
AT1G01030	60
AT1G01040	619.50
AT1G01046	5.50
AT1G01050	1451.00
AT1G01060	2783.67
AT1G01070	92.83
AT1G01073	0
AT1G01080	1665.33
AT1G01090	2952.25
AT1G01100	3738.50
AT1G01110	48.50
AT1G01115	0
AT1G01120	3185.17
AT1G01130	25
AT1G01140	3298.00
AT1G01150	1
AT1G01160	711.17
AT1G01170	991.92
AT1G01180	362
AT1G01183	0
AT1G01190	16
AT1G01200	9
AT1G01210	152
AT1G01220	640.50
AT1G01225	21.50
AT1G01230	527.50
AT1G01240	391.50
AT1G01250	39
AT1G01260	325.17
AT1G01270	0
AT1G01280	1.33
AT1G01290	243
AT1G01300	1748.58
AT1G01305	0
AT1G01310	7
AT1G01320	7236.11
AT1G01340	524.50
AT1G01350	410.17
AT1G01355	0
AT1G01360	181
AT1G01370	88.50
AT1G01380	10
AT1G01390	62
AT1G01400	0
AT1G01410	0
AT1G01420	172
AT1G01430	1449.17
AT1G01440	523
AT1G01448	142
AT1G01450	72
AT1G01453	0
AT1G01460	0
AT1G01470	2836.33
AT1G01471	0
AT1G01480	18.50
AT1G01490	1523.67
AT1G01500	299
AT1G01510	593.50
AT1G01520	61
AT1G01530	2
AT1G01540	1856
AT1G01550	3285.50
AT1G01560	744
AT1G01570	29
AT1G01580	40
AT1G01590	5
AT1G01600	255.50
AT1G01610	894.83
AT1G01620	2798.50
AT1G01630	1552
AT1G01640	57
AT1G01650	948.50
AT1G01660	5
AT1G01670	21
AT1G01680	419.50
AT1G01690	91
AT1G01695	11
AT1G01700	27
AT1G01710	749.50
AT1G01720	979
AT1G01725	98.50
AT1G01730	424.50
AT1G01740	92.50
AT1G01750	5.83
AT1G01760	42.17
AT1G01770	330
AT1G01780	125.50
AT1G01790	2752.00
AT1G01800	1514.83
AT1G01810	11
AT1G01820	847.25
AT1G01830	561.67
AT1G01840	57
AT1G01860	182.50
AT1G01870	0
AT1G01880	28
AT1G01890	0
AT1G01900	95
AT1G01910	1049.50
AT1G01920	221.50
AT1G01930	227.50
AT1G01940	186
AT1G01950	519
AT1G01960	2085
AT1G01970	682.17
AT1G01980	0
AT1G01990	321
AT1G02000	276
AT1G02010	125
AT1G02020	427
AT1G02030	3
AT1G02040	0
AT1G02050	70.50
AT1G02060	133.50
AT1G02065	66
AT1G02070	13
AT1G02074	0
AT1G02080	2001.50
AT1G02090	558.50
AT1G02100	651.50
AT1G02110	372
AT1G02120	1639.50
AT1G02130	680
AT1G02140	2258.83
AT1G02145	424
AT1G02150	1883
AT1G02160	178.50
AT1G02170	903.50
AT1G02180	102
AT1G02190	8.50
AT1G02205	916.92
AT1G02210	0
AT1G02220	164
AT1G02230	50.50
AT1G02250	0
AT1G02260	404
AT1G02270	1068.50
AT1G02280	1190
AT1G02290	127
AT1G02300	238.42
AT1G02305	1657.92
AT1G02310	11.83
AT1G02320	0
AT1G02330	393.50
AT1G02335	116.50
