Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/R51.sam
AT1G01010	198
AT1G01020	206
AT1G01030	40.83
AT1G01040	795
AT1G01046	9
AT1G01050	1847.00
AT1G01060	1272
AT1G01070	99
AT1G01073	0
AT1G01080	2088
AT1G01090	2671.50
AT1G01100	4796.50
AT1G01110	47
AT1G01115	0
AT1G01120	3929.67
AT1G01130	44.50
AT1G01140	2542.50
AT1G01150	0
AT1G01160	621.00
AT1G01170	1115.50
AT1G01180	352
AT1G01183	0
AT1G01190	22
AT1G01200	37
AT1G01210	217
AT1G01220	773.50
AT1G01225	50
AT1G01230	523.50
AT1G01240	350
AT1G01250	44
AT1G01260	358.50
AT1G01270	0
AT1G01280	0
AT1G01290	245.50
AT1G01300	1217
AT1G01305	0
AT1G01310	11.50
AT1G01320	9178.50
AT1G01340	480.50
AT1G01350	335.50
AT1G01355	0
AT1G01360	233
AT1G01370	88
AT1G01380	12
AT1G01390	74
AT1G01400	0
AT1G01410	0
AT1G01420	135.50
AT1G01430	881.50
AT1G01440	408.50
AT1G01448	90
AT1G01450	48
AT1G01453	0
AT1G01460	0
AT1G01470	2284
AT1G01471	0
AT1G01480	22
AT1G01490	1039.50
AT1G01500	323.50
AT1G01510	575.33
AT1G01520	47
AT1G01530	5
AT1G01540	2103.00
AT1G01550	3032
AT1G01560	558
AT1G01570	20
AT1G01580	20.50
AT1G01590	4
AT1G01600	207.50
AT1G01610	1113
AT1G01620	3407.17
AT1G01630	1468.50
AT1G01640	51.50
AT1G01650	935.50
AT1G01660	21
AT1G01670	28
AT1G01680	532
AT1G01690	60.33
AT1G01695	2
AT1G01700	24
AT1G01710	706
AT1G01720	725.50
AT1G01725	86
AT1G01730	471.50
AT1G01740	105.83
AT1G01750	4.83
AT1G01760	24.83
AT1G01770	310
AT1G01780	122.50
AT1G01790	3315
AT1G01800	1744.50
AT1G01810	22
AT1G01820	1006
AT1G01830	593.50
AT1G01840	49
AT1G01860	207
AT1G01870	3
AT1G01880	21
AT1G01890	0
AT1G01900	146
AT1G01910	1070.50
AT1G01920	214
AT1G01930	230
AT1G01940	180
AT1G01950	482
AT1G01960	1977.17
AT1G01970	769.50
AT1G01980	0
AT1G01990	387.50
AT1G02000	243.50
AT1G02010	157
AT1G02020	271
AT1G02030	0
AT1G02040	2
AT1G02050	80.50
AT1G02060	88.50
AT1G02065	56
AT1G02070	2
AT1G02074	0
AT1G02080	1954.67
AT1G02090	638.00
AT1G02100	702.75
AT1G02110	336
AT1G02120	2083.33
AT1G02130	711.50
AT1G02140	2093.50
AT1G02145	379.50
AT1G02150	1877.50
AT1G02160	276.50
AT1G02170	835
AT1G02180	89
AT1G02190	8.50
AT1G02205	710
AT1G02210	0
AT1G02220	270
AT1G02230	61
AT1G02250	0
AT1G02260	551
AT1G02270	693
AT1G02280	1166.50
AT1G02290	143.50
AT1G02300	304
AT1G02305	1976.00
AT1G02310	21
AT1G02320	0
AT1G02330	401.50
AT1G02335	197
AT1G02340	9
AT1G02350	37
AT1G02360	179
AT1G02370	122.50
AT1G02380	82
AT1G02390	190
AT1G02391	0
AT1G02400	36
AT1G02405	6
AT1G02410	558.50
AT1G02420	60
AT1G02430	40.33
AT1G02440	8
AT1G02450	246
AT1G02460	23
AT1G02470	76
AT1G02475	1474.00
AT1G02480	0
AT1G02490	8
AT1G02500	6185
AT1G02510	0
AT1G02520	43
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	7242.00
AT1G02570	0
AT1G02575	0
AT1G02580	14
AT1G02590	0
AT1G02600	0
AT1G02610	33
AT1G02620	0
AT1G02630	1
AT1G02640	137
AT1G02650	18
AT1G02660	145.50
AT1G02670	17
AT1G02680	192
AT1G02690	112
AT1G02700	52
AT1G02710	48
AT1G02720	221.50
AT1G02730	426
AT1G02740	217
AT1G02750	271
AT1G02760	0
AT1G02770	15
AT1G02780	11111.92
AT1G02790	0
AT1G02800	37
AT1G02810	10
AT1G02813	0
AT1G02816	488.25
AT1G02820	228
AT1G02830	0
AT1G02840	1505
AT1G02850	752.50
AT1G02860	156
AT1G02870	218
AT1G02880	503
AT1G02890	1492.00
AT1G02900	29
AT1G02910	1481.17
AT1G02920	5437.75
AT1G02930	9027.92
AT1G02940	13
AT1G02950	24
AT1G02952	17
AT1G02960	201.00
AT1G02965	0
AT1G02970	47
AT1G02980	0
AT1G02990	352.50
AT1G03000	564
AT1G03010	15
AT1G03020	34
AT1G03022	0
AT1G03030	416.50
AT1G03040	824.50
AT1G03050	27
AT1G03055	147
AT1G03060	1286.50
AT1G03070	11
AT1G03080	994
AT1G03090	362.50
AT1G03100	81.50
AT1G03103	0
AT1G03106	0
AT1G03110	166
AT1G03120	1
AT1G03130	6246.92
AT1G03140	624.50
AT1G03150	293.50
AT1G03160	1572.00
AT1G03170	1
AT1G03180	59.50
AT1G03190	221.50
AT1G03200	16.50
AT1G03210	505.50
AT1G03220	1484.50
AT1G03230	634.50
AT1G03240	0
AT1G03250	513.50
AT1G03260	167
AT1G03270	65
AT1G03280	792.00
AT1G03290	1816.50
AT1G03300	160
AT1G03310	1683
AT1G03320	1
AT1G03330	536.50
AT1G03340	114
AT1G03350	1038.67
AT1G03360	146.50
AT1G03365	336.50
AT1G03370	1478.83
AT1G03380	640
AT1G03390	1
AT1G03400	1210.33
AT1G03410	640
AT1G03430	482.25
AT1G03440	443.50
AT1G03445	10
AT1G03457	134
AT1G03470	72
AT1G03475	6556
AT1G03490	2
AT1G03495	256.17
AT1G03502	10.50
AT1G03506	9
AT1G03510	36
AT1G03515	0
AT1G03520	169.50
AT1G03530	216.50
AT1G03540	21
AT1G03545	62
AT1G03550	84
AT1G03560	176.50
AT1G03570	0
AT1G03590	300.50
AT1G03600	6651.17
AT1G03610	292.50
AT1G03620	25
AT1G03630	5072
AT1G03640	0
AT1G03650	72.50
AT1G03660	29.50
AT1G03670	0
AT1G03680	7963
AT1G03687	263
AT1G03700	0
AT1G03710	0
AT1G03720	0
AT1G03730	232.50
AT1G03740	782
AT1G03743	0
AT1G03746	0
AT1G03750	105.50
AT1G03760	149
AT1G03770	62
AT1G03780	102.50
AT1G03790	0
AT1G03800	16
AT1G03810	0
AT1G03820	386.50
AT1G03830	117.50
AT1G03840	6
AT1G03850	341
AT1G03860	1286.25
AT1G03870	2162
AT1G03880	0.25
AT1G03890	0
AT1G03900	1941
AT1G03905	83
AT1G03910	806
AT1G03920	13
AT1G03930	868
AT1G03935	48
AT1G03940	191.50
AT1G03950	378
AT1G03960	170.00
AT1G03970	320.50
AT1G03980	186.50
AT1G03982	0
AT1G03990	42
AT1G04000	245
AT1G04010	247.50
AT1G04020	259
AT1G04030	830.00
AT1G04040	2656.75
AT1G04050	75
AT1G04070	145
AT1G04080	1818.50
AT1G04090	8
AT1G04100	81
AT1G04110	108.50
AT1G04120	1622.00
AT1G04130	182.50
AT1G04140	1710.50
AT1G04150	2
AT1G04160	189
AT1G04170	1856.50
AT1G04171	0
AT1G04180	0
AT1G04190	646
AT1G04200	911
AT1G04210	873.75
AT1G04220	74.50
AT1G04230	194.00
AT1G04240	881
AT1G04250	719
AT1G04260	285
AT1G04270	5336.50
AT1G04280	549.50
AT1G04290	269.17
AT1G04295	257.17
AT1G04300	912
AT1G04310	174
AT1G04320	0
AT1G04330	12
AT1G04340	434
AT1G04350	1290.50
AT1G04360	16
AT1G04370	1
AT1G04380	1
AT1G04390	158
AT1G04400	2542
AT1G04410	20208.25
AT1G04420	3483.50
AT1G04425	57
AT1G04430	2997.58
AT1G04440	1702.17
AT1G04445	0.50
AT1G04450	0
AT1G04470	0
AT1G04480	2583.50
AT1G04490	53
AT1G04500	1
AT1G04501	0
AT1G04510	1125.00
AT1G04520	261
AT1G04530	1548
AT1G04540	91
AT1G04550	490
AT1G04555	156.50
AT1G04560	1
AT1G04570	87
AT1G04580	0
AT1G04590	384
AT1G04600	117.83
AT1G04610	2
AT1G04620	1332.00
AT1G04625	40
AT1G04630	633.33
AT1G04635	21
AT1G04640	981.33
AT1G04645	7
AT1G04650	52
AT1G04660	27
AT1G04670	1
AT1G04680	2591
AT1G04684	0
AT1G04690	2132.50
AT1G04700	34
AT1G04710	686
AT1G04720	0
AT1G04730	96
AT1G04750	2181.50
AT1G04760	14
AT1G04770	337
AT1G04778	2
AT1G04780	943.50
AT1G04790	438.50
AT1G04800	1865.25
AT1G04810	1191.50
AT1G04820	5673.50
AT1G04830	294.50
AT1G04840	27
AT1G04850	2126.75
AT1G04860	717.50
AT1G04870	535.33
AT1G04880	3
AT1G04890	0
AT1G04900	143.50
AT1G04910	670.50
AT1G04920	25
AT1G04930	69.50
AT1G04940	853.50
AT1G04945	944.50
AT1G04950	333.50
AT1G04960	465
AT1G04970	561.50
AT1G04980	1368.33
AT1G04985	495
AT1G04990	1426.50
AT1G05000	248
AT1G05010	6983.17
AT1G05020	42.50
AT1G05030	333.00
AT1G05040	4
AT1G05055	283
AT1G05060	370
AT1G05065	20
AT1G05070	451
AT1G05080	0
AT1G05085	2
AT1G05090	253
AT1G05100	16
AT1G05120	373.50
AT1G05136	20
AT1G05140	1569.50
AT1G05150	702.50
AT1G05160	217.00
AT1G05170	464
AT1G05180	934.50
AT1G05190	9000.92
AT1G05200	903
AT1G05205	277.50
AT1G05210	107.50
AT1G05220	62.50
AT1G05230	551.50
AT1G05240	0
AT1G05250	0
AT1G05260	42
AT1G05270	707.50
AT1G05280	0
AT1G05290	0
AT1G05291	0
AT1G05300	193
AT1G05310	50
AT1G05320	370
AT1G05330	1
AT1G05340	234.50
AT1G05350	767.25
AT1G05360	193
AT1G05370	23
AT1G05380	655.50
AT1G05385	440
AT1G05390	0
AT1G05400	11
AT1G05410	238
AT1G05420	8
AT1G05430	591.50
AT1G05440	24
AT1G05450	4
AT1G05460	248
AT1G05470	105
AT1G05490	9
AT1G05500	950.50
AT1G05510	2
AT1G05520	922
AT1G05530	1.00
AT1G05540	128
AT1G05550	6
AT1G05560	515.33
AT1G05562	470.33
AT1G05570	2830.50
AT1G05575	60.50
AT1G05577	6
AT1G05580	0
AT1G05590	301
AT1G05600	91.50
AT1G05610	5
AT1G05615	0
AT1G05620	295
AT1G05630	1015
AT1G05640	97.50
AT1G05650	0
AT1G05660	0
AT1G05670	156
