Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/WT2.sam
AT1G01010	52.75
AT1G01020	192
AT1G01030	30.25
AT1G01040	491.17
AT1G01046	3.50
AT1G01050	1502.33
AT1G01060	1147.50
AT1G01070	112.50
AT1G01073	0
AT1G01080	2278.50
AT1G01090	3980
AT1G01100	6163.67
AT1G01110	50
AT1G01115	0
AT1G01120	5028.50
AT1G01130	60
AT1G01140	1744.50
AT1G01150	0.50
AT1G01160	749.75
AT1G01170	1270.25
AT1G01180	335
AT1G01183	0
AT1G01190	82
AT1G01200	59
AT1G01210	264
AT1G01220	584
AT1G01225	37
AT1G01230	552.50
AT1G01240	332
AT1G01250	68
AT1G01260	232
AT1G01270	0
AT1G01280	0
AT1G01290	223.50
AT1G01300	2234
AT1G01305	0
AT1G01310	2
AT1G01320	5323.50
AT1G01340	258
AT1G01350	234
AT1G01355	0
AT1G01360	180.50
AT1G01370	73.50
AT1G01380	21
AT1G01390	121
AT1G01400	0
AT1G01410	0
AT1G01420	182
AT1G01430	1020.83
AT1G01440	367
AT1G01448	93.50
AT1G01450	40.17
AT1G01453	1
AT1G01460	0
AT1G01470	2434
AT1G01471	0
AT1G01480	14.33
AT1G01490	1330.50
AT1G01500	406
AT1G01510	667.50
AT1G01520	27
AT1G01530	2
AT1G01540	2431
AT1G01550	2351.50
AT1G01560	217
AT1G01570	37
AT1G01580	13
AT1G01590	3
AT1G01600	453
AT1G01610	2015.67
AT1G01620	6101.83
AT1G01630	1624
AT1G01640	37
AT1G01650	864
AT1G01660	33
AT1G01670	41
AT1G01680	70.50
AT1G01690	53
AT1G01695	7
AT1G01700	9
AT1G01710	657.25
AT1G01720	393.67
AT1G01725	118
AT1G01730	461.50
AT1G01740	130
AT1G01750	4
AT1G01760	15
AT1G01770	358.50
AT1G01780	86.50
AT1G01790	3439.50
AT1G01800	1699.50
AT1G01810	8
AT1G01820	1300.50
AT1G01830	533
AT1G01840	53.50
AT1G01860	233.50
AT1G01870	0
AT1G01880	12
AT1G01890	0
AT1G01900	183
AT1G01910	1194.75
AT1G01920	250.50
AT1G01930	250
AT1G01940	220.50
AT1G01950	403
AT1G01960	1649.50
AT1G01970	868.50
AT1G01980	0.50
AT1G01990	445.50
AT1G02000	309
AT1G02010	153
AT1G02020	439
AT1G02030	0.33
AT1G02040	1
AT1G02050	77.50
AT1G02060	99
AT1G02065	96.50
AT1G02070	10
AT1G02074	0
AT1G02080	1229.50
AT1G02090	723.50
AT1G02100	702.50
AT1G02110	605.50
AT1G02120	1832.50
AT1G02130	729.50
AT1G02140	2715.17
AT1G02145	362.75
AT1G02150	2588.67
AT1G02160	463
AT1G02170	860
AT1G02180	121
AT1G02190	4
AT1G02205	897.75
AT1G02210	0
AT1G02220	62
AT1G02230	53
AT1G02250	0
AT1G02260	531
AT1G02270	645.50
AT1G02280	1326.75
AT1G02290	100
AT1G02300	300.52
AT1G02305	1534.58
AT1G02310	7
AT1G02320	0
AT1G02330	280
AT1G02335	124.50
AT1G02340	1
AT1G02350	42
AT1G02360	95
AT1G02370	101
AT1G02380	38.50
AT1G02390	69
AT1G02391	0
AT1G02400	112
AT1G02405	18
AT1G02410	454
AT1G02420	52.50
AT1G02430	44.50
AT1G02440	2
AT1G02450	73
AT1G02460	25
AT1G02470	25.50
AT1G02475	1378.67
AT1G02480	0
AT1G02490	2
AT1G02500	5597.58
AT1G02510	0
AT1G02520	5
AT1G02530	6
AT1G02540	0
AT1G02550	0
AT1G02560	7641.50
AT1G02570	0
AT1G02575	0
AT1G02580	0
AT1G02590	0
AT1G02600	0
AT1G02610	48.50
AT1G02620	1
AT1G02630	2
AT1G02640	380.50
AT1G02650	34
AT1G02660	247
AT1G02670	27.33
AT1G02680	209
AT1G02690	197.83
AT1G02700	62
AT1G02710	70
AT1G02720	264.50
AT1G02730	478.50
AT1G02740	175
AT1G02750	170
AT1G02760	0
AT1G02770	14
AT1G02780	10808
AT1G02790	0
AT1G02800	82
AT1G02810	10
AT1G02813	0
AT1G02816	374
AT1G02820	297
AT1G02830	0
AT1G02840	1874
AT1G02850	84
AT1G02860	141.50
AT1G02870	215.50
AT1G02880	423.50
AT1G02890	1173
AT1G02900	38
AT1G02910	1704.00
AT1G02920	2177
AT1G02930	3193.67
AT1G02940	4
AT1G02950	35.50
AT1G02952	32.50
AT1G02960	213
AT1G02965	0
AT1G02970	80
AT1G02980	0
AT1G02990	182.50
AT1G03000	585
AT1G03010	12
AT1G03020	26
AT1G03022	0
AT1G03030	364.50
AT1G03040	720.67
AT1G03050	1.83
AT1G03055	86.83
AT1G03060	610.33
AT1G03070	3
AT1G03080	485.75
AT1G03090	431.50
AT1G03100	50
AT1G03103	0
AT1G03106	0
AT1G03110	169.75
AT1G03120	3
AT1G03130	10532.08
AT1G03140	737
AT1G03150	239
AT1G03160	1561.50
AT1G03170	4
AT1G03180	35
AT1G03190	223.50
AT1G03200	11
AT1G03210	372.50
AT1G03220	2302
AT1G03230	873.50
AT1G03240	0
AT1G03250	518.50
AT1G03260	228
AT1G03270	79
AT1G03280	663.50
AT1G03290	752
AT1G03300	91
AT1G03310	1356
AT1G03320	15
AT1G03330	530
AT1G03340	68
AT1G03350	643.50
AT1G03360	96
AT1G03365	243.50
AT1G03370	1035.50
AT1G03380	664.50
AT1G03390	0
AT1G03400	915.50
AT1G03410	873
AT1G03430	423
AT1G03440	593
AT1G03445	3
AT1G03457	139
AT1G03470	84
AT1G03475	8126.50
AT1G03490	0
AT1G03495	188
AT1G03502	4.50
AT1G03506	6
AT1G03510	35
AT1G03515	0
AT1G03520	123
AT1G03530	198
AT1G03540	14
AT1G03545	43.50
AT1G03550	63.50
AT1G03560	140
AT1G03570	0
AT1G03590	287.50
AT1G03600	10030.50
AT1G03610	354.50
AT1G03620	18.17
AT1G03630	4027.83
AT1G03640	0
AT1G03650	97.50
AT1G03660	7
AT1G03670	0.50
AT1G03680	9087
AT1G03687	266
AT1G03700	0
AT1G03710	7.50
AT1G03720	0
AT1G03730	234
AT1G03740	778.50
AT1G03743	0
AT1G03746	1
AT1G03750	52
AT1G03760	78
AT1G03770	77.50
AT1G03780	59.83
AT1G03790	0
AT1G03800	4
AT1G03810	0
AT1G03820	157.33
AT1G03830	94
AT1G03840	15
AT1G03850	90
AT1G03860	1081.33
AT1G03870	3680.33
AT1G03880	0
AT1G03890	0
AT1G03900	2182
AT1G03905	38
AT1G03910	587.50
AT1G03920	15
AT1G03930	712.33
AT1G03935	47
AT1G03940	157
AT1G03950	213.00
AT1G03960	153
AT1G03970	289.33
AT1G03980	155.33
AT1G03982	0
AT1G03990	26.50
AT1G04000	220.50
AT1G04010	225.00
AT1G04020	171.50
AT1G04030	909.08
AT1G04040	2770.58
AT1G04050	41
AT1G04070	204
AT1G04080	1520.00
AT1G04090	14
AT1G04100	63.50
AT1G04110	149
AT1G04120	944.75
AT1G04130	190
AT1G04140	1905.33
AT1G04150	4
AT1G04160	107
AT1G04170	1753
AT1G04171	0
AT1G04180	13
AT1G04190	412.00
AT1G04200	414
AT1G04210	681.50
AT1G04220	64.50
AT1G04230	196
AT1G04240	884.50
AT1G04250	761.50
AT1G04260	219.50
AT1G04270	6591.50
AT1G04280	505.33
AT1G04290	299.00
AT1G04295	289.00
AT1G04300	632
AT1G04310	108
AT1G04320	0
AT1G04330	4
AT1G04340	458
AT1G04350	1174.25
AT1G04360	18
AT1G04370	0
AT1G04380	5
AT1G04390	175.50
AT1G04400	2000.83
AT1G04410	17295.17
AT1G04420	3672.50
AT1G04425	48.50
AT1G04430	3305.50
AT1G04440	1169
AT1G04445	0
AT1G04450	0
AT1G04470	0
AT1G04480	3684
AT1G04490	23.50
AT1G04500	1
AT1G04501	0
AT1G04510	1173.00
AT1G04520	255.50
AT1G04530	1254.50
AT1G04540	43
AT1G04550	517.17
AT1G04555	74
AT1G04560	0
AT1G04570	30.50
AT1G04580	1.50
AT1G04590	286
AT1G04600	26
AT1G04610	0
AT1G04620	1234.83
AT1G04625	41
AT1G04630	792
AT1G04635	35
AT1G04640	1057.00
AT1G04645	3
AT1G04650	34
AT1G04660	52
AT1G04670	2
AT1G04680	2534.17
AT1G04684	0
AT1G04690	1901.50
AT1G04700	20
AT1G04710	678.75
AT1G04720	0
AT1G04730	104
AT1G04750	1792.50
AT1G04760	41
AT1G04770	192.50
AT1G04778	10
AT1G04780	651.50
AT1G04790	369.50
AT1G04800	3586
AT1G04810	1090.78
AT1G04820	8118.50
AT1G04830	247
AT1G04840	26
AT1G04850	1420.50
AT1G04860	525.50
AT1G04870	407
AT1G04880	1
AT1G04890	0
AT1G04900	138
AT1G04910	653
AT1G04920	28
AT1G04930	84.50
AT1G04940	855.33
AT1G04945	927.33
AT1G04950	396
AT1G04960	370.50
AT1G04970	507.50
AT1G04980	519.50
AT1G04985	545.83
AT1G04990	894.33
AT1G05000	45
AT1G05010	7942.75
AT1G05020	72.50
AT1G05030	349.50
AT1G05040	0
AT1G05055	257
AT1G05060	314
AT1G05065	55
AT1G05070	409.50
AT1G05080	0.50
AT1G05085	0
AT1G05090	175.50
AT1G05100	11
AT1G05120	292
AT1G05136	15
AT1G05140	1841.50
AT1G05150	641.50
AT1G05160	173
AT1G05170	265
AT1G05180	759
AT1G05190	11369.67
AT1G05200	939.50
AT1G05205	371.50
AT1G05210	102
AT1G05220	68
AT1G05230	646.00
AT1G05240	1.50
AT1G05250	1.50
AT1G05260	11.50
AT1G05270	649
AT1G05280	0
AT1G05290	0
AT1G05291	0
AT1G05300	132
AT1G05310	46
AT1G05320	239
AT1G05330	6
AT1G05340	53
AT1G05350	519.50
AT1G05360	196
AT1G05370	16
AT1G05380	559.50
AT1G05385	511.50
AT1G05390	0
AT1G05400	8
AT1G05410	197
AT1G05420	21
AT1G05430	468.75
AT1G05440	29
AT1G05450	2.50
AT1G05460	180
AT1G05470	154
AT1G05490	18
AT1G05500	703.50
AT1G05510	2
AT1G05520	804.50
AT1G05530	4
AT1G05540	179
AT1G05550	4
AT1G05560	453.50
AT1G05562	414.50
AT1G05570	738
AT1G05575	77
AT1G05577	0
AT1G05580	0.33
AT1G05590	340.83
AT1G05600	122
AT1G05610	8
AT1G05615	0
AT1G05620	354.50
AT1G05630	684.17
AT1G05640	42.50
AT1G05650	0
AT1G05660	0
AT1G05670	110.50
AT1G05675	151.50
AT1G05680	7
AT1G05690	82
AT1G05700	0
AT1G05710	152.00
AT1G05720	322.50
AT1G05730	109.50
AT1G05740	1
AT1G05750	145
AT1G05760	17
AT1G05770	12
AT1G05780	69
AT1G05785	152.17
AT1G05790	381
AT1G05800	1
AT1G05805	766
AT1G05810	353.50
AT1G05820	49
AT1G05830	458
AT1G05835	169
AT1G05840	362
AT1G05850	12716.33
AT1G05860	172
AT1G05870	440.50
AT1G05880	6
AT1G05890	971
AT1G05894	0
AT1G05900	348.50
AT1G05910	464
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	1010
AT1G05950	32.50
AT1G05960	990.67
AT1G05970	94
AT1G05980	0
AT1G05990	0
AT1G06000	1605.17
AT1G06002	788.33
AT1G06010	194
AT1G06020	4
AT1G06030	1
AT1G06040	1977
AT1G06050	96
AT1G06060	314
AT1G06070	291.50
AT1G06080	80
AT1G06090	14
AT1G06100	106
AT1G06110	524
AT1G06120	0
AT1G06130	602
AT1G06135	0
AT1G06137	0
AT1G06140	19
AT1G06148	4
AT1G06149	294.92
AT1G06150	339.42
AT1G06160	266
AT1G06170	6
AT1G06180	85
AT1G06190	1531.50
AT1G06200	752
AT1G06210	363
AT1G06220	1339.33
AT1G06225	0
AT1G06230	613
AT1G06240	418.50
AT1G06250	24.50
AT1G06260	9.67
AT1G06265	31.67
AT1G06270	86
AT1G06280	0
AT1G06290	1481.50
AT1G06310	2
AT1G06320	0.50
AT1G06330	0
AT1G06340	1
AT1G06350	32.25
AT1G06360	1297.75
AT1G06380	133.50
AT1G06390	1026.50
AT1G06400	692.50
AT1G06410	1915.50
AT1G06420	18
AT1G06430	2578.25
AT1G06440	41
AT1G06450	251.50
AT1G06460	3846.00
AT1G06470	661
AT1G06475	80
AT1G06480	0
AT1G06490	56.00
AT1G06500	210.50
AT1G06510	492
AT1G06515	348.50
AT1G06520	21.83
AT1G06530	1166.50
AT1G06540	6
AT1G06550	610.58
AT1G06560	253
AT1G06570	490
AT1G06580	55
