Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G01010	61
AT1G01020	180
AT1G01030	43
AT1G01040	239
AT1G01046	0.50
AT1G01050	1498.25
AT1G01060	1016.17
AT1G01070	71
AT1G01073	0
AT1G01080	2216
AT1G01090	3131.17
AT1G01100	7976.75
AT1G01110	49.83
AT1G01115	0
AT1G01120	5405
AT1G01130	60.75
AT1G01140	1064.75
AT1G01150	0
AT1G01160	857.33
AT1G01170	2426.42
AT1G01180	904.50
AT1G01183	0
AT1G01190	26
AT1G01200	94
AT1G01210	291.50
AT1G01220	167
AT1G01225	59
AT1G01230	750.50
AT1G01240	214.50
AT1G01250	101
AT1G01260	184
AT1G01270	0
AT1G01280	0
AT1G01290	183
AT1G01300	2299.17
AT1G01305	0
AT1G01310	5
AT1G01320	1684.17
AT1G01340	210.50
AT1G01350	196.50
AT1G01355	0
AT1G01360	205.50
AT1G01370	91
AT1G01380	33
AT1G01390	78.83
AT1G01400	0
AT1G01410	0
AT1G01420	220
AT1G01430	959.50
AT1G01440	224
AT1G01448	74.33
AT1G01450	45
AT1G01453	6
AT1G01460	0
AT1G01470	4155.33
AT1G01471	0
AT1G01480	5
AT1G01490	1980.00
AT1G01500	332
AT1G01510	447.50
AT1G01520	23
AT1G01530	4
AT1G01540	1551.50
AT1G01550	3460.67
AT1G01560	185.67
AT1G01570	30
AT1G01580	5
AT1G01590	25
AT1G01600	343
AT1G01610	1174
AT1G01620	9931.50
AT1G01630	1328.50
AT1G01640	49
AT1G01650	868
AT1G01660	2
AT1G01670	29.50
AT1G01680	86
AT1G01690	25
AT1G01695	4
AT1G01700	12
AT1G01710	490.50
AT1G01720	595
AT1G01725	144
AT1G01730	521
AT1G01740	23
AT1G01750	4
AT1G01760	16
AT1G01770	128.50
AT1G01780	45.50
AT1G01790	1358.75
AT1G01800	1562.50
AT1G01810	8
AT1G01820	1320
AT1G01830	268
AT1G01840	63.50
AT1G01860	163.50
AT1G01870	0
AT1G01880	9
AT1G01890	0
AT1G01900	76.50
AT1G01910	879
AT1G01920	207
AT1G01930	77
AT1G01940	198
AT1G01950	179.50
