"locus","short_name","name","aliases","Length","logFC","logCPM","F","PValue","FDR"
"AT1G01010","NAC001","NAC domain containing protein 1","ANAC001, NAC001, NTL10",1688,0.661864076381486,2.85450517319264,6.02607512033511,0.0251252257240154,0.103041258044794
"AT1G01020","ARV1","","ARV1",1774,-0.12157949952252,3.25788919522958,0.465527016117602,0.504213063969214,0.668758885392206
"AT1G01030","NGA3","NGATHA3","NGA3",1905,0.286776167027325,1.29072150472901,0.741269750032544,0.401195318167798,0.578059656703418
"AT1G01040","DCL1","dicer-like 1","ASU1, ATDCL1, CAF, DCL1, EMB60, EMB76, SIN1, SUS1",6254,-0.631327665431264,5.01060622096496,10.9673288693937,0.00410958034946103,0.034378742427795
"AT1G01046","MIR838A","microRNA838A","MIR838A",207,-1.11054279555202,-1.2081863021592,2.49603684060577,0.132497427979187,0.29088006776412
"AT1G01050","PPa1","pyrophosphorylase 1","AtPPa1, PPa1",976,0.183616302387179,6.23948658088514,2.11444029486791,0.16406874172284,0.331897943874978
"AT1G01060","LHY","LATE ELONGATED HYPOCOTYL","LHY, LHY1",3234,-0.451325760077741,6.28459645977535,1.84847632629887,0.191663572865682,0.366433335957117
"AT1G01070","UMAMIT28","Usually multiple acids move in and out Transporters 28","UMAMIT28",1450,-0.52780265355007,2.20109495562888,5.96378194375936,0.0257846176572152,0.104420522023909
"AT1G01080","AT1G01080","","",1322,0.034072015822328,6.59713674825673,0.0549983116988635,0.817375427011437,0.892934086850522
"AT1G01090","PDH-E1 ALPHA","pyruvate dehydrogenase E1 alpha","PDH-E1 ALPHA",1627,-0.0959991511984887,7.23744672641181,0.396564915014684,0.537213339217334,0.695450315540934
"AT1G01100","AT1G01100","","RPP1.1, RPP1A",679,0.279082402747007,7.90626926210244,1.81306420426566,0.19576217737005,0.371388191149628
"AT1G01110","IQD18","IQ-domain 18","IQD18",1851,0.121236407522204,1.40368736649912,0.151270947108967,0.702136103062394,0.81617259408326
"AT1G01120","KCS1","3-ketoacyl-CoA synthase 1","KCS1",1899,0.567593478014032,7.55429045611454,5.99793581334769,0.0254206736031022,0.103689053667141
"AT1G01130","AT1G01130","","",375,-0.0642033490339155,1.20417662268945,0.0485859250958957,0.828159049766287,0.899243541907196
"AT1G01140","CIPK9","CBL-interacting protein kinase 9","CIPK9, PKS6, SnRK3.12",1707,0.108387961098285,6.9894167943522,0.307635613726107,0.586334613897692,0.734585569614084
"AT1G01160","GIF2","GRF1-interacting factor 2","GIF2",1147,0.0917449234220787,5.16932914926702,0.447944909257673,0.512270605453085,0.675267305511473
"AT1G01170","AT1G01170","","",515,0.547896995202827,6.02493649367046,8.73364986875024,0.00883565638561006,0.0550959352858602
"AT1G01180","AT1G01180","","",1176,0.834950386286845,4.53562938059846,18.1740294153522,0.000521500264044663,0.010207067787561
"AT1G01190","CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","CYP78A8",1608,-1.46349259934062,0.967415414718857,16.2595245897372,0.000859359281196947,0.0137781682549073
"AT1G01200","RABA3","RAB GTPase homolog A3","ATRAB-A3, ATRABA3, RABA3",982,0.57152832945876,0.943827432527906,2.29100590126209,0.148434030656949,0.312136087187525
"AT1G01210","AT1G01210","","",616,-0.212894342740729,3.35178666322904,0.7202991850543,0.407799072697379,0.58451759438384
"AT1G01220","FKGP","L-fucokinase/GDP-L-fucose pyrophosphorylase","AtFKGP, FKGP",3532,-0.746113367429806,4.90538428317001,11.1602287981407,0.00385971087008541,0.0331081912030871
"AT1G01225","AT1G01225","","",1025,0.320487971747828,1.20799974185498,0.889083783257907,0.358890237133252,0.539633954253972
"AT1G01230","AT1G01230","","AtORM1",832,0.398352007920147,4.88513669805242,10.1354299546695,0.00541789956104068,0.0404692849823589
"AT1G01240","AT1G01240","","",1941,-0.372885630828809,4.37866141757465,2.04762417034308,0.170509931562883,0.340117870932937
