"locus","short_name","name","aliases","Length","logFC","logCPM","F","PValue","FDR"
"AT1G01010","NAC001","NAC domain containing protein 1","ANAC001, NAC001, NTL10",1688,1.40479288430183,2.85450517319264,27.9837837554688,5.93523715560662e-05,0.00164941381232941
"AT1G01020","ARV1","","ARV1",1774,-0.017784453266048,3.25788919522958,0.0100922738743683,0.921150245016413,0.956509078098122
"AT1G01030","NGA3","NGATHA3","NGA3",1905,-0.214130125208136,1.29072150472901,0.39920643637143,0.535876406072723,0.709507469955966
"AT1G01040","DCL1","dicer-like 1","ASU1, ATDCL1, CAF, DCL1, EMB60, EMB76, SIN1, SUS1",6254,0.200994524235063,5.01060622096496,1.14515985868651,0.299474347174757,0.506921031599951
"AT1G01046","MIR838A","microRNA838A","MIR838A",207,0.458519632272186,-1.2081863021592,0.609008494838706,0.445856580531138,0.639063191100593
"AT1G01050","PPa1","pyrophosphorylase 1","AtPPa1, PPa1",976,0.0938667039802953,6.23948658088514,0.553133947677552,0.467161953207826,0.656646226202388
"AT1G01060","LHY","LATE ELONGATED HYPOCOTYL","LHY, LHY1",3234,-0.578240358773284,6.28459645977535,3.02903556915182,0.0997945446142762,0.263419304827054
"AT1G01070","UMAMIT28","Usually multiple acids move in and out Transporters 28","UMAMIT28",1450,-0.109674347144714,2.20109495562888,0.269067113232072,0.610622442282138,0.763259310604598
"AT1G01080","AT1G01080","","",1322,-0.25139641857895,6.59713674825673,2.98835506671768,0.101921627004103,0.266664382057906
"AT1G01090","PDH-E1 ALPHA","pyruvate dehydrogenase E1 alpha","PDH-E1 ALPHA",1627,-0.407866497413564,7.23744672641181,7.13227712394341,0.0161003052037272,0.0844498749506164
"AT1G01100","AT1G01100","","RPP1.1, RPP1A",679,-0.458469903437133,7.90626926210244,4.87370017614883,0.0412492109087879,0.153123627208368
"AT1G01110","IQD18","IQ-domain 18","IQD18",1851,-0.912242343534654,1.40368736649912,7.8908662165681,0.0120444323696237,0.0700710662600795
"AT1G01120","KCS1","3-ketoacyl-CoA synthase 1","KCS1",1899,-0.109384430110524,7.55429045611454,0.223766838815176,0.642181473111257,0.785115530200625
"AT1G01130","AT1G01130","","",375,-0.390716227517114,1.20417662268945,1.77560884197749,0.20021808571288,0.401187992512106
"AT1G01140","CIPK9","CBL-interacting protein kinase 9","CIPK9, PKS6, SnRK3.12",1707,0.309806546719743,6.9894167943522,2.51423756051755,0.131185513808806,0.311401192839229
"AT1G01160","GIF2","GRF1-interacting factor 2","GIF2",1147,-0.316595056903047,5.16932914926702,5.30373155610379,0.0341368970526624,0.13567903390554
"AT1G01170","AT1G01170","","",515,-0.469088373374546,6.02493649367046,6.36210817869381,0.0218837018919404,0.103243032611929
"AT1G01180","AT1G01180","","",1176,-0.488469817203985,4.53562938059846,6.10073375001884,0.0243601678251307,0.11001305934692
"AT1G01190","CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","CYP78A8",1608,-1.41681167781641,0.967415414718857,15.693061982827,0.00100223063583361,0.0127158803345239
